Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Start game,900,2,0,8,0.81,2.000%,41.65895,5.56,8.61,136.7
Move paper,4500,1,0,7,0.77,2.067%,207.87140,50.18,45.72,247.2
Move Rock,4500,1,0,12,0.78,2.067%,207.87140,49.99,45.53,246.2
Move SCISSORS,4500,1,0,7,0.79,2.089%,207.85219,50.88,46.31,250.7
Get statistics,900,1,0,5,0.77,2.111%,41.61850,9.36,5.25,230.2
Terminate,900,1,1,5,0.75,2.111%,41.61657,5.66,8.75,139.2
TOTAL,16200,1,0,12,0.78,2.074%,747.74983,171.47,160.02,234.8
